Package	Version	LibPath
MatrixModels	0.5-4	~/.local/lib/R/site-library
matrixStats	1.5.0	~/.local/lib/R/site-library
memoise	2.0.1	~/.local/lib/R/site-library
microbenchmark	1.5.0	~/.local/lib/R/site-library
mime	0.13	~/.local/lib/R/site-library
minqa	1.2.8	~/.local/lib/R/site-library
mnormt	2.1.2	~/.local/lib/R/site-library
modelr	0.1.11	~/.local/lib/R/site-library
mvtnorm	1.4-2	~/.local/lib/R/site-library
nanoarrow	0.9.0	~/.local/lib/R/site-library
nloptr	2.2.1	~/.local/lib/R/site-library
numDeriv	2016.8-1.1	~/.local/lib/R/site-library
openssl	2.4.2	~/.local/lib/R/site-library
optimParallel	1.0-3	~/.local/lib/R/site-library
otel	0.2.0	~/.local/lib/R/site-library
pak	0.11.1	~/.local/lib/R/site-library
pbapply	1.7-5	~/.local/lib/R/site-library
pbkrtest	0.5.5	~/.local/lib/R/site-library
pillar	1.11.1	~/.local/lib/R/site-library
pixmap	0.4-14	~/.local/lib/R/site-library
pkgbuild	1.4.8	~/.local/lib/R/site-library
pkgconfig	2.0.3	~/.local/lib/R/site-library
pkgload	1.5.3	~/.local/lib/R/site-library
plyr	1.8.9	~/.local/lib/R/site-library
png	0.1-9	~/.local/lib/R/site-library
polyclip	1.10-7	~/.local/lib/R/site-library
polynom	1.4-1	~/.local/lib/R/site-library
pool	1.0.5	~/.local/lib/R/site-library
pracma	2.4.6	~/.local/lib/R/site-library
praise	1.0.0	~/.local/lib/R/site-library
prettyunits	1.2.0	~/.local/lib/R/site-library
processx	3.9.0	~/.local/lib/R/site-library
progress	1.2.3	~/.local/lib/R/site-library
promises	1.5.0	~/.local/lib/R/site-library
proxy	0.4-29	~/.local/lib/R/site-library
ps	1.9.3	~/.local/lib/R/site-library
purrr	1.2.2	~/.local/lib/R/site-library
quantreg	6.1	~/.local/lib/R/site-library
R.cache	0.17.0	~/.local/lib/R/site-library
R.methodsS3	1.8.2	~/.local/lib/R/site-library
R.oo	1.27.1	~/.local/lib/R/site-library
R.utils	2.13.0	~/.local/lib/R/site-library
R6	2.6.1	~/.local/lib/R/site-library
RANN	2.6.3	~/.local/lib/R/site-library
rapidjsonr	1.2.1	~/.local/lib/R/site-library
rappdirs	0.3.4	~/.local/lib/R/site-library
rbibutils	2.4.1	~/.local/lib/R/site-library
rcmdcheck	1.4.0	~/.local/lib/R/site-library
RColorBrewer	1.1-3	~/.local/lib/R/site-library
Rcpp	1.1.2	~/.local/lib/R/site-library
RcppArmadillo	15.4.2-1	~/.local/lib/R/site-library
RcppEigen	0.3.4.0.2	~/.local/lib/R/site-library
RcppProgress	0.4.2	~/.local/lib/R/site-library
Rdpack	2.6.6	~/.local/lib/R/site-library
rdtools	0.1.0	~/.local/lib/R/site-library
reformulas	0.4.4	~/.local/lib/R/site-library
reshape2	1.4.5	~/.local/lib/R/site-library
rex	1.2.2	~/.local/lib/R/site-library
rlang	1.3.0	~/.local/lib/R/site-library
rmarkdown	2.32	~/.local/lib/R/site-library
robustbase	0.99-7	~/.local/lib/R/site-library
roxygen2	8.1.0	~/.local/lib/R/site-library
RPostgreSQL	0.7-8	~/.local/lib/R/site-library
rprojroot	2.1.1	~/.local/lib/R/site-library
rSPDE	2.6.0	~/.local/lib/R/site-library
RSpectra	0.16-2	~/.local/lib/R/site-library
rstatix	1.1.0	~/.local/lib/R/site-library
rstudioapi	0.19.0	~/.local/lib/R/site-library
rversions	3.0.0	~/.local/lib/R/site-library
s2	1.1.12	~/.local/lib/R/site-library
S7	0.2.2	~/.local/lib/R/site-library
sass	0.4.10	~/.local/lib/R/site-library
scales	1.4.0	~/.local/lib/R/site-library
sessioninfo	1.2.4	~/.local/lib/R/site-library
sf	1.1-2	~/.local/lib/R/site-library
sfheaders	0.4.5	~/.local/lib/R/site-library
sftime	0.3.2	~/.local/lib/R/site-library
sourcetools	0.1.7-2	~/.local/lib/R/site-library
sp	2.2-3	~/.local/lib/R/site-library
spacesXYZ	1.6-0	~/.local/lib/R/site-library
spacetime	1.3-4	~/.local/lib/R/site-library
spam	2.11-4	~/.local/lib/R/site-library
spam64	2.11-4	~/.local/lib/R/site-library
sparseinv	0.1.4	~/.local/lib/R/site-library
SparseM	1.84-2	~/.local/lib/R/site-library
spatial	7.3-19	~/.local/lib/R/site-library
spatstat.data	3.1-9	~/.local/lib/R/site-library
spatstat.sparse	3.2-0	~/.local/lib/R/site-library
spatstat.univar	3.2-0	~/.local/lib/R/site-library
spatstat.utils	3.2-4	~/.local/lib/R/site-library
spData	2.3.5	~/.local/lib/R/site-library
spectralGP	1.3.4	~/.local/lib/R/site-library
splancs	2.01-45	~/.local/lib/R/site-library
stars	0.7-3	~/.local/lib/R/site-library
statmod	1.5.2	~/.local/lib/R/site-library
stringdist	0.9.17	~/.local/lib/R/site-library
stringi	1.8.9	~/.local/lib/R/site-library
stringr	1.6.0	~/.local/lib/R/site-library
styler	1.11.0	~/.local/lib/R/site-library
sys	3.4.3	~/.local/lib/R/site-library
systemfonts	1.3.2	~/.local/lib/R/site-library
tensor	1.5.1	~/.local/lib/R/site-library
tensorA	0.36.2.1	~/.local/lib/R/site-library
terra	1.9-46	~/.local/lib/R/site-library
textshaping	1.0.5	~/.local/lib/R/site-library
tibble	3.3.1	~/.local/lib/R/site-library
tidyr	1.3.2	~/.local/lib/R/site-library
tidyselect	1.2.1	~/.local/lib/R/site-library
timechange	0.4.0	~/.local/lib/R/site-library
timeDate	4052.112	~/.local/lib/R/site-library
tinytex	0.60	~/.local/lib/R/site-library
TMB	1.9.25	~/.local/lib/R/site-library
tzdb	0.5.0	~/.local/lib/R/site-library
units	1.0-1	~/.local/lib/R/site-library
urca	1.3-4	~/.local/lib/R/site-library
urlchecker	2.0.0	~/.local/lib/R/site-library
utf8	1.2.6	~/.local/lib/R/site-library
uuid	1.2-2	~/.local/lib/R/site-library
vctrs	0.7.3	~/.local/lib/R/site-library
viridisLite	0.4.3	~/.local/lib/R/site-library
waldo	0.6.2	~/.local/lib/R/site-library
whisker	0.4.1	~/.local/lib/R/site-library
withr	3.0.3	~/.local/lib/R/site-library
