Order	Package	BeforeVersion	Version	URL	SHA256
101	markdown	-	2.0	https://stat.ethz.ch/CRAN/src/contrib/markdown_2.0.tar.gz	a560de75fb6878901e38febfef3ea8d21cb63af63de0e583019867d189bf9541
102	tinytex	0.59	0.60	https://stat.ethz.ch/CRAN/src/contrib/tinytex_0.60.tar.gz	a48f0e88a6cf0cd196e950dba8743df8916918a67c472923257c82bcb8a471e8
103	rmarkdown	2.31	2.32	https://stat.ethz.ch/CRAN/src/contrib/rmarkdown_2.32.tar.gz	f7fab8ae670d18a4b91409d11e4275b565c4081d77c4522443d01f94a8c2acee
104	Hmisc	-	5.3-0	https://stat.ethz.ch/CRAN/src/contrib/Hmisc_5.3-0.tar.gz	11005db1266040f864de3f7f16ac7b533cce2a57a47aad14806d7fff686ca60d
105	xml2	1.5.2	1.6.0	https://stat.ethz.ch/CRAN/src/contrib/xml2_1.6.0.tar.gz	b0660edab0a839866a0cccd44721c54d497000fd6577a25106a33280318bf579
106	lintr	3.3.0-1	3.4.0	https://stat.ethz.ch/CRAN/src/contrib/lintr_3.4.0.tar.gz	54144e68b70289edff7eed4fc8d00efacd1ddd51c032dc1e88bfb657c10a89dc
107	roxygen2	8.0.0	8.1.0	https://stat.ethz.ch/CRAN/src/contrib/roxygen2_8.1.0.tar.gz	6ee35d555ba8cfdbb0ab9c419e4f4af03e6a7acd8a0eaa77bc31fd50941fb691
108	urlchecker	-	2.0.0	https://stat.ethz.ch/CRAN/src/contrib/urlchecker_2.0.0.tar.gz	7a9e6137ded1c5be5d927e0ac91cb84a8922d37ece5757330f7f0d258e15378d
109	xopen	-	1.0.1	https://stat.ethz.ch/CRAN/src/contrib/xopen_1.0.1.tar.gz	e3b278b8c324a1aa2650141dd89d01253eea5c2555007422c797915689b29aec
110	rcmdcheck	-	1.4.0	https://stat.ethz.ch/CRAN/src/contrib/rcmdcheck_1.4.0.tar.gz	bbd4ef7d514b8c2076196a7c4a6041d34623d55fbe73f2771758ce61fd32c9d0
111	xtable	-	1.8-8	https://stat.ethz.ch/CRAN/src/contrib/xtable_1.8-8.tar.gz	b999c031b91255fb92134b0e70e5f84c5609e9312c0518393b9d0a4aaf6b2510
112	zip	-	3.0.2	https://stat.ethz.ch/CRAN/src/contrib/zip_3.0.2.tar.gz	5bf37e5ad4cf4cc3d191b4479e7b53336afd9250e5b9f10272e7b4a4b5cc88b7
113	zoo	1.8-15	1.9-0	https://stat.ethz.ch/CRAN/src/contrib/zoo_1.9-0.tar.gz	a8ed748aa0200ca096ff50cc7f891aae85a2e5914ffc30785e405887c13b1322
114	xts	-	0.14.2	https://stat.ethz.ch/CRAN/src/contrib/xts_0.14.2.tar.gz	d4b68584b2b64664163850af6cb936b9bf14485bfb725d048c272cee0812dc6f
115	spacetime	-	1.3-4	https://stat.ethz.ch/CRAN/src/contrib/spacetime_1.3-4.tar.gz	0fe6f848f67babc74deb3cf7216d921f3cbf5454409fb28da70900863aa26e3d
116	FRK	-	2.3.2	https://stat.ethz.ch/CRAN/src/contrib/FRK_2.3.2.tar.gz	d34ac280eeceaefda029c0ddcb651ea9dae8a556015376423f327037327c1321
117	gstat	-	2.1-6	https://stat.ethz.ch/CRAN/src/contrib/gstat_2.1-6.tar.gz	f227c849800fa477f4d5608f9868c3efefc8831b5a80fa51b4122c0cb5b8dd39
