Package	Version	LibPath	Priority
rags2ridges	2.2.9	/home/phili/R/library	NA
RANN	2.6.3	/home/phili/.local/lib/R/site-library	NA
rapidjsonr	1.2.1	/home/phili/.local/lib/R/site-library	NA
RApiSerialize	0.1.4	/home/phili/R/library	NA
rappdirs	0.3.4	/home/phili/.local/lib/R/site-library	NA
raster	3.6-32	/home/phili/.local/lib/R/site-library	NA
RBGL	1.88.0	/home/phili/R/library	NA
rbibutils	2.4.1	/home/phili/.local/lib/R/site-library	NA
rcmdcheck	1.4.0	/home/phili/.local/lib/R/site-library	NA
RColorBrewer	1.1-3	/home/phili/.local/lib/R/site-library	NA
Rcpp	1.1.2	/home/phili/.local/lib/R/site-library	NA
RcppArmadillo	15.4.2-1	/home/phili/.local/lib/R/site-library	NA
RcppDist	0.1.1.1	/home/phili/R/library	NA
RcppEigen	0.3.4.0.2	/home/phili/.local/lib/R/site-library	NA
RcppParallel	6.2.0	/home/phili/R/library	NA
RcppProgress	0.4.2	/home/phili/.local/lib/R/site-library	NA
RcppTOML	0.2.3	/home/phili/R/library	NA
Rdpack	2.6.6	/home/phili/.local/lib/R/site-library	NA
rdtools	0.1.0	/home/phili/.local/lib/R/site-library	NA
reactable	0.4.5	/home/phili/R/library	NA
reactR	0.6.1	/home/phili/R/library	NA
reformulas	0.4.4	/home/phili/.local/lib/R/site-library	NA
remotes	2.5.0	/home/phili/R/library	NA
renv	1.2.3	/home/phili/R/library	NA
reshape	0.8.10	/home/phili/R/library	NA
reshape2	1.4.5	/home/phili/.local/lib/R/site-library	NA
rex	1.2.2	/home/phili/.local/lib/R/site-library	NA
rgl	1.3.36	/home/phili/.local/lib/R/site-library	NA
Rglpk	0.6-5.1	/home/phili/R/library	NA
rlang	1.3.0	/home/phili/.local/lib/R/site-library	NA
rle	0.10.0	/home/phili/R/library	NA
rmarkdown	2.32	/home/phili/.local/lib/R/site-library	NA
rnaturalearth	1.2.0	/home/phili/.local/lib/R/site-library	NA
rnaturalearthdata	1.0.0	/home/phili/.local/lib/R/site-library	NA
robustbase	0.99-7	/home/phili/.local/lib/R/site-library	NA
roxygen2	8.1.0	/home/phili/.local/lib/R/site-library	NA
